Fondsposition per,"14.Mai2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NVDA","NVIDIA CORP","IT","Aktien","1.824.014.204,52","5,57","1.824.014.204,52","7.737.398,00","235,74","Vereinigte Staaten","NASDAQ","USD"
"AAPL","APPLE INC","IT","Aktien","1.391.765.155,44","4,25","1.391.765.155,44","4.667.064,00","298,21","Vereinigte Staaten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aktien","917.967.444,66","2,80","917.967.444,66","2.242.062,00","409,43","Vereinigte Staaten","NASDAQ","USD"
"AMZN","AMAZON.COM INC","Zyklische Konsumgüter ","Aktien","819.531.139,16","2,50","819.531.139,16","3.066.878,00","267,22","Vereinigte Staaten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Kommunikation","Aktien","739.417.464,84","2,26","739.417.464,84","1.843.612,00","401,07","Vereinigte Staaten","NASDAQ","USD"
"AVGO","BROADCOM INC","IT","Aktien","627.164.288,66","1,92","627.164.288,66","1.426.054,00","439,79","Vereinigte Staaten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Kommunikation","Aktien","615.203.223,39","1,88","615.203.223,39","1.548.967,00","397,17","Vereinigte Staaten","NASDAQ","USD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","IT","Aktien","564.852.927,18","1,72","564.852.927,18","7.842.000,00","72,03","Taiwan","Taiwan Stock Exchange","TWD"
"NDIA","ISHARES MSCI INDIA UCITS ETF","Financials","Aktien","431.248.005,84","1,32","431.248.005,84","50.185.966,00","8,59","Irland","London Stock Exchange","USD"
"META","META PLATFORMS INC CLASS A","Kommunikation","Aktien","426.762.463,82","1,30","426.762.463,82","690.074,00","618,43","Vereinigte Staaten","NASDAQ","USD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","398.364.452,20","1,22","398.364.452,20","898.634,00","443,30","Vereinigte Staaten","NASDAQ","USD"
"005930","SAMSUNG ELECTRONICS LTD","IT","Aktien","298.569.191,46","0,91","298.569.191,46","1.503.891,00","198,53","Korea","Korea Exchange (Stock Market)","KRW"
"MU","MICRON TECHNOLOGY INC","IT","Aktien","276.296.032,47","0,84","276.296.032,47","356.047,00","776,01","Vereinigte Staaten","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Aktien","261.501.126,12","0,80","261.501.126,12","871.932,00","299,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Gesundheitsversorgung","Aktien","256.374.275,60","0,78","256.374.275,60","254.668,00","1.006,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","IT","Aktien","230.688.455,10","0,70","230.688.455,10","512.983,00","449,70","Vereinigte Staaten","NASDAQ","USD"
"000660","SK HYNIX INC","IT","Aktien","225.330.104,97","0,69","225.330.104,97","170.536,00","1.321,31","Korea","Korea Exchange (Stock Market)","KRW"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Aktien","211.621.834,86","0,65","211.621.834,86","437.181,00","484,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energie","Aktien","206.239.097,02","0,63","206.239.097,02","1.349.909,00","152,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ASML","ASML HOLDING NV","IT","Aktien","198.178.539,38","0,61","198.178.539,38","124.121,00","1.596,66","Niederlande","Euronext Amsterdam","EUR"
"WMT","WALMART INC","Nichtzyklische Konsumgüter","Aktien","183.844.677,96","0,56","183.844.677,96","1.387.926,00","132,46","Vereinigte Staaten","NASDAQ","USD"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Financials","Aktien","176.583.120,70","0,54","176.583.120,70","3.384.115,00","52,18","Deutschland","Xetra","USD"
"JNJ","JOHNSON & JOHNSON","Gesundheitsversorgung","Aktien","175.390.228,40","0,54","175.390.228,40","759.923,00","230,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Financials","Aktien","175.088.045,00","0,53","175.088.045,00","542.875,00","322,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INTC","INTEL CORPORATION CORP","IT","Aktien","165.230.855,52","0,50","165.230.855,52","1.425.264,00","115,93","Vereinigte Staaten","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Nichtzyklische Konsumgüter","Aktien","145.090.898,75","0,44","145.090.898,75","139.343,00","1.041,25","Vereinigte Staaten","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","IT","Aktien","144.520.636,08","0,44","144.520.636,08","1.250.936,00","115,53","Vereinigte Staaten","NASDAQ","USD"
"CNYA","ISH MSCI CHINA A ETF USD ACC","Financials","Aktien","137.965.212,22","0,42","137.965.212,22","21.752.497,00","6,34","Irland","London Stock Exchange","USD"
"CAT","CATERPILLAR INC","Industrie","Aktien","136.130.905,26","0,42","136.130.905,26","147.933,00","920,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","Financials","Aktien","131.702.731,16","0,40","131.702.731,16","268.814,00","489,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LRCX","LAM RESEARCH CORP","IT","Aktien","122.008.925,80","0,37","122.008.925,80","407.852,00","299,15","Vereinigte Staaten","NASDAQ","USD"
"700","TENCENT HOLDINGS LTD","Kommunikation","Aktien","118.634.112,15","0,36","118.634.112,15","2.019.100,00","58,76","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ABBV","ABBVIE INC","Gesundheitsversorgung","Aktien","117.632.633,93","0,36","117.632.633,93","558.109,00","210,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Kommunikation","Aktien","117.129.654,18","0,36","117.129.654,18","1.347.247,00","86,94","Vereinigte Staaten","NASDAQ","USD"
"UNH","UNITEDHEALTH GROUP INC","Gesundheitsversorgung","Aktien","115.139.061,36","0,35","115.139.061,36","288.504,00","399,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energie","Aktien","114.245.516,88","0,35","114.245.516,88","612.117,00","186,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aktien","111.649.799,12","0,34","111.649.799,12","253.427,00","440,56","Vereinigte Staaten","NASDAQ","USD"
"BAC","BANK OF AMERICA CORP","Financials","Aktien","110.373.782,30","0,34","110.373.782,30","2.214.118,00","49,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Nichtzyklische Konsumgüter","Aktien","105.394.902,75","0,32","105.394.902,75","738.525,00","142,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ORCL","ORACLE CORP","IT","Aktien","105.185.365,30","0,32","105.185.365,30","537.730,00","195,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KO","COCA-COLA","Nichtzyklische Konsumgüter","Aktien","103.999.243,55","0,32","103.999.243,55","1.292.719,00","80,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HSBA","HSBC HOLDINGS PLC","Financials","Aktien","102.702.439,64","0,31","102.702.439,64","5.641.728,00","18,20","Vereinigtes Königreich","London Stock Exchange","GBP"
"IKSA","ISHARES MSCI SAUDI ARABIA CAPPED","Financials","Aktien","101.830.372,70","0,31","101.830.372,70","15.780.315,00","6,45","Irland","London Stock Exchange","USD"
"GE","GE AEROSPACE","Industrie","Aktien","97.667.357,70","0,30","97.667.357,70","335.005,00","291,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","IT","Aktien","97.505.886,25","0,30","97.505.886,25","729.125,00","133,73","Vereinigte Staaten","NASDAQ","USD"
