Fondsposition per,"14.Mai2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"HD","HOME DEPOT INC","Zyklische Konsumgüter ","Aktien","96.076.294,95","0,29","96.076.294,95","315.677,00","304,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9988","ALIBABA GROUP HOLDING LTD","Zyklische Konsumgüter ","Aktien","96.006.034,93","0,29","96.006.034,93","5.452.920,00","17,61","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Nichtzyklische Konsumgüter","Aktien","93.720.540,24","0,29","93.720.540,24","488.484,00","191,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GS","GOLDMAN SACHS GROUP INC","Financials","Aktien","93.272.089,60","0,28","93.272.089,60","96.260,00","968,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GEV","GE VERNOVA INC","Industrie","Aktien","93.186.879,03","0,28","93.186.879,03","85.451,00","1.090,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","92.825.161,10","0,28","92.825.161,10","622.318,00","149,16","Schweiz","SIX Swiss Exchange","CHF"
"ROP","ROCHE PS PAR AG","Gesundheitsversorgung","Aktien","91.675.984,93","0,28","91.675.984,93","224.334,00","408,66","Schweiz","SIX Swiss Exchange","CHF"
"TXN","TEXAS INSTRUMENT INC","IT","Aktien","89.536.636,31","0,27","89.536.636,31","290.543,00","308,17","Vereinigte Staaten","NASDAQ","USD"
"MRK","MERCK & CO INC","Gesundheitsversorgung","Aktien","89.203.883,01","0,27","89.203.883,01","786.561,00","113,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","89.111.766,73","0,27","89.111.766,73","480.965,00","185,28","Vereinigtes Königreich","London Stock Exchange","GBP"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","80.281.649,14","0,25","80.281.649,14","817.697,00","98,18","Schweiz","SIX Swiss Exchange","CHF"
"RY","ROYAL BANK OF CANADA","Financials","Aktien","80.131.196,82","0,24","80.131.196,82","435.860,00","183,85","Kanada","Toronto Stock Exchange","CAD"
"KLAC","KLA CORP","IT","Aktien","78.827.700,42","0,24","78.827.700,42","41.643,00","1.892,94","Vereinigte Staaten","NASDAQ","USD"
"SIE","SIEMENS N AG","Industrie","Aktien","77.297.412,47","0,24","77.297.412,47","241.795,00","319,68","Deutschland","Xetra","EUR"
"LIN","LINDE PLC","Materialien","Aktien","76.926.577,50","0,23","76.926.577,50","150.350,00","511,65","Vereinigte Staaten","NASDAQ","USD"
"SHEL","SHELL PLC","Energie","Aktien","76.832.444,64","0,23","76.832.444,64","1.809.698,00","42,46","Vereinigtes Königreich","London Stock Exchange","GBP"
"MS","MORGAN STANLEY","Financials","Aktien","74.739.593,18","0,23","74.739.593,18","384.206,00","194,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RTX","RTX CORP","Industrie","Aktien","74.397.669,12","0,23","74.397.669,12","423.484,00","175,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WFC","WELLS FARGO","Financials","Aktien","73.677.470,25","0,22","73.677.470,25","998.475,00","73,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"C","CITIGROUP INC","Financials","Aktien","72.245.691,18","0,22","72.245.691,18","578.799,00","124,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BHP","BHP GROUP LTD","Materialien","Aktien","71.512.086,85","0,22","71.512.086,85","1.594.335,00","44,85","Australien","Asx - All Markets","AUD"
"ADI","ANALOG DEVICES INC","IT","Aktien","68.073.858,58","0,21","68.073.858,58","159.502,00","426,79","Vereinigte Staaten","NASDAQ","USD"
"QCOM","QUALCOMM INC","IT","Aktien","67.161.854,00","0,21","67.161.854,00","335.675,00","200,08","Vereinigte Staaten","NASDAQ","USD"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Aktien","66.115.786,78","0,20","66.115.786,78","3.634.300,00","18,19","Japan","Tokyo Stock Exchange","JPY"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Aktien","64.681.630,74","0,20","64.681.630,74","296.202,00","218,37","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Nichtzyklische Konsumgüter","Aktien","63.286.440,28","0,19","63.286.440,28","425.684,00","148,67","Vereinigte Staaten","NASDAQ","USD"
"NEE","NEXTERA ENERGY INC","Versorger","Aktien","62.935.337,92","0,19","62.935.337,92","657.769,00","95,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Zyklische Konsumgüter ","Aktien","62.162.742,87","0,19","62.162.742,87","226.071,00","274,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Aktien","61.887.568,82","0,19","61.887.568,82","547.423,00","113,05","Australien","Asx - All Markets","AUD"
"VZ","VERIZON COMMUNICATIONS INC","Kommunikation","Aktien","60.909.428,58","0,19","60.909.428,58","1.294.293,00","47,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PANW","PALO ALTO NETWORKS INC","IT","Aktien","60.812.630,90","0,19","60.812.630,90","255.290,00","238,21","Vereinigte Staaten","NASDAQ","USD"
"DIS","WALT DISNEY","Kommunikation","Aktien","60.501.697,62","0,18","60.501.697,62","573.911,00","105,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"USD","USD CASH","Cash und/oder Derivate","Geldmarkt","59.930.445,14","0,18","59.930.445,14","59.930.445,00","100,00","Vereinigte Staaten","-","USD"
"TD","TORONTO DOMINION","Financials","Aktien","58.076.133,28","0,18","58.076.133,28","536.618,00","108,23","Kanada","Toronto Stock Exchange","CAD"
"TTE","TOTALENERGIES","Energie","Aktien","57.682.928,83","0,18","57.682.928,83","630.890,00","91,43","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"7203","TOYOTA MOTOR CORP","Zyklische Konsumgüter ","Aktien","57.601.740,18","0,18","57.601.740,18","3.028.400,00","19,02","Japan","Tokyo Stock Exchange","JPY"
"BA","BOEING","Industrie","Aktien","56.816.804,01","0,17","56.816.804,01","247.881,00","229,21","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GLW","CORNING INC","IT","Aktien","56.725.891,12","0,17","56.725.891,12","272.354,00","208,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Financials","Aktien","56.710.518,09","0,17","56.710.518,09","181.317,00","312,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","55.896.556,35","0,17","55.896.556,35","166.245,00","336,23","Vereinigte Staaten","NASDAQ","USD"
"SAN","BANCO SANTANDER","Financials","Aktien","55.845.763,49","0,17","55.845.763,49","4.666.519,00","11,97","Spanien","Bolsa De Madrid","EUR"
"SAP","SAP","IT","Aktien","55.135.492,00","0,17","55.135.492,00","334.266,00","164,95","Deutschland","Xetra","EUR"
"WDC","WESTERN DIGITAL CORP","IT","Aktien","55.005.406,65","0,17","55.005.406,65","112.451,00","489,15","Vereinigte Staaten","NASDAQ","USD"
"T","AT&T INC","Kommunikation","Aktien","54.747.058,40","0,17","54.747.058,40","2.220.976,00","24,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","IT","Aktien","53.757.163,24","0,16","53.757.163,24","66.799,00","804,76","Vereinigte Staaten","NASDAQ","USD"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","53.628.938,42","0,16","53.628.938,42","169.460,00","316,47","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TMO","THERMO FISHER SCIENTIFIC INC","Gesundheitsversorgung","Aktien","53.611.742,73","0,16","53.611.742,73","119.613,00","448,21","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Zyklische Konsumgüter ","Aktien","53.334.806,00","0,16","53.334.806,00","361.960,00","147,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABBN","ABB LTD","Industrie","Aktien","53.217.167,00","0,16","53.217.167,00","502.917,00","105,82","Schweiz","SIX Swiss Exchange","CHF"
"ALV","ALLIANZ","Financials","Aktien","52.041.347,26","0,16","52.041.347,26","117.160,00","444,19","Deutschland","Xetra","EUR"
"GILD","GILEAD SCIENCES INC","Gesundheitsversorgung","Aktien","51.985.286,94","0,16","51.985.286,94","393.649,00","132,06","Vereinigte Staaten","NASDAQ","USD"
"2454","MEDIATEK INC","IT","Aktien","51.752.974,77","0,16","51.752.974,77","479.000,00","108,04","Taiwan","Taiwan Stock Exchange","TWD"
"ENR","SIEMENS ENERGY N AG","Industrie","Aktien","51.616.190,59","0,16","51.616.190,59","249.672,00","206,74","Deutschland","Xetra","EUR"
"ANET","ARISTA NETWORKS INC","IT","Aktien","51.340.473,21","0,16","51.340.473,21","347.341,00","147,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Financials","Aktien","51.268.945,14","0,16","51.268.945,14","46.438,00","1.104,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8035","TOKYO ELECTRON LTD","IT","Aktien","50.958.803,63","0,16","50.958.803,63","157.400,00","323,75","Japan","Tokyo Stock Exchange","JPY"
"CRM","SALESFORCE INC","IT","Aktien","50.544.138,96","0,15","50.544.138,96","301.612,00","167,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ETN","EATON PLC","Industrie","Aktien","50.065.708,00","0,15","50.065.708,00","122.680,00","408,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Industrie","Aktien","49.759.756,98","0,15","49.759.756,98","184.747,00","269,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MRVL","MARVELL TECHNOLOGY INC","IT","Aktien","49.636.198,80","0,15","49.636.198,80","271.860,00","182,58","Vereinigte Staaten","NASDAQ","USD"
"APH","AMPHENOL CORP CLASS A","IT","Aktien","49.175.785,93","0,15","49.175.785,93","380.647,00","129,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SCHW","CHARLES SCHWAB CORP","Financials","Aktien","49.023.405,60","0,15","49.023.405,60","548.115,00","89,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IBE","IBERDROLA SA","Versorger","Aktien","48.705.132,15","0,15","48.705.132,15","2.130.792,00","22,86","Spanien","Bolsa De Madrid","EUR"
"ISRG","INTUITIVE SURGICAL INC","Gesundheitsversorgung","Aktien","48.602.788,52","0,15","48.602.788,52","113.542,00","428,06","Vereinigte Staaten","NASDAQ","USD"
"UBSG","UBS GROUP AG","Financials","Aktien","47.662.106,38","0,15","47.662.106,38","1.030.420,00","46,26","Schweiz","SIX Swiss Exchange","CHF"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","47.329.105,35","0,14","47.329.105,35","1.012.063,00","46,76","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"DE","DEERE","Industrie","Aktien","47.063.590,64","0,14","47.063.590,64","81.901,00","574,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WELL","WELLTOWER INC","Immobilien","Aktien","46.971.941,25","0,14","46.971.941,25","215.715,00","217,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UBER","UBER TECHNOLOGIES INC","Industrie","Aktien","46.897.626,93","0,14","46.897.626,93","627.897,00","74,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABT","ABBOTT LABORATORIES","Gesundheitsversorgung","Aktien","46.897.656,30","0,14","46.897.656,30","552.387,00","84,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrie","Aktien","46.081.061,47","0,14","46.081.061,47","2.854.440,00","16,14","Vereinigtes Königreich","London Stock Exchange","GBP"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","IT","Aktien","45.473.299,55","0,14","45.473.299,55","78.409,00","579,95","Vereinigte Staaten","NASDAQ","USD"
"PFE","PFIZER INC","Gesundheitsversorgung","Aktien","44.756.538,50","0,14","44.756.538,50","1.738.118,00","25,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aktien","44.586.878,80","0,14","44.586.878,80","204.790,00","217,72","Vereinigte Staaten","NASDAQ","USD"
"MC","LVMH","Zyklische Konsumgüter ","Aktien","44.311.693,44","0,14","44.311.693,44","82.322,00","538,28","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"6857","ADVANTEST CORP","IT","Aktien","44.059.265,23","0,13","44.059.265,23","243.500,00","180,94","Japan","Tokyo Stock Exchange","JPY"
"9984","SOFTBANK GROUP CORP","Kommunikation","Aktien","43.705.985,01","0,13","43.705.985,01","1.197.900,00","36,49","Japan","Tokyo Stock Exchange","JPY"
"COP","CONOCOPHILLIPS","Energie","Aktien","43.330.777,52","0,13","43.330.777,52","364.216,00","118,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BATS","BRITISH AMERICAN TOBACCO","Nichtzyklische Konsumgüter","Aktien","43.120.273,77","0,13","43.120.273,77","644.451,00","66,91","Vereinigtes Königreich","London Stock Exchange","GBP"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Aktien","42.985.488,82","0,13","42.985.488,82","1.940.556,00","22,15","Spanien","Bolsa De Madrid","EUR"
"VRT","VERTIV HOLDINGS CLASS A","Industrie","Aktien","42.936.120,06","0,13","42.936.120,06","114.122,00","376,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PLD","PROLOGIS REIT INC","Immobilien","Aktien","42.907.848,20","0,13","42.907.848,20","300.770,00","142,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6501","HITACHI LTD","Industrie","Aktien","42.629.576,02","0,13","42.629.576,02","1.443.300,00","29,54","Japan","Tokyo Stock Exchange","JPY"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Aktien","42.462.471,15","0,13","42.462.471,15","1.183.300,00","35,88","Japan","Tokyo Stock Exchange","JPY"
"6758","SONY GROUP CORP","Zyklische Konsumgüter ","Aktien","42.071.918,81","0,13","42.071.918,81","1.931.900,00","21,78","Japan","Tokyo Stock Exchange","JPY"
"2308","DELTA ELECTRONICS INC","IT","Aktien","41.506.742,82","0,13","41.506.742,82","607.000,00","68,38","Taiwan","Taiwan Stock Exchange","TWD"
"SPGI","S&P GLOBAL INC","Financials","Aktien","40.883.570,64","0,12","40.883.570,64","101.217,00","403,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NEM","NEWMONT","Materialien","Aktien","40.739.347,65","0,12","40.739.347,65","350.205,00","116,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Zyklische Konsumgüter ","Aktien","39.938.758,49","0,12","39.938.758,49","178.609,00","223,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CB","CHUBB","Financials","Aktien","39.928.986,87","0,12","39.928.986,87","124.743,00","320,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Zyklische Konsumgüter ","Aktien","39.747.086,08","0,12","39.747.086,08","257.296,00","154,48","Vereinigte Staaten","NASDAQ","USD"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","IT","Aktien","39.441.292,87","0,12","39.441.292,87","303.588,00","129,92","Korea","Korea Exchange (Stock Market)","KRW"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Aktien","39.434.299,08","0,12","39.434.299,08","212.252,00","185,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RIO","RIO TINTO PLC","Materialien","Aktien","39.226.804,17","0,12","39.226.804,17","356.761,00","109,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"ENB","ENBRIDGE INC","Energie","Aktien","39.101.602,51","0,12","39.101.602,51","696.529,00","56,14","Kanada","Toronto Stock Exchange","CAD"
"1299","AIA GROUP LTD","Financials","Aktien","38.842.666,36","0,12","38.842.666,36","3.469.000,00","11,20","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"CVS","CVS HEALTH CORP","Gesundheitsversorgung","Aktien","38.735.842,30","0,12","38.735.842,30","398.722,00","97,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UCG","UNICREDIT","Financials","Aktien","38.656.298,24","0,12","38.656.298,24","457.445,00","84,51","Italien","Borsa Italiana","EUR"
"SBUX","STARBUCKS CORP","Zyklische Konsumgüter ","Aktien","38.332.515,20","0,12","38.332.515,20","360.268,00","106,40","Vereinigte Staaten","NASDAQ","USD"
"ULVR","UNILEVER PLC","Nichtzyklische Konsumgüter","Aktien","38.311.295,42","0,12","38.311.295,42","672.697,00","56,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"MO","ALTRIA GROUP INC","Nichtzyklische Konsumgüter","Aktien","38.249.061,89","0,12","38.249.061,89","528.229,00","72,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DTE","DEUTSCHE TELEKOM N AG","Kommunikation","Aktien","37.976.659,58","0,12","37.976.659,58","1.168.737,00","32,49","Deutschland","Xetra","EUR"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Aktien","37.913.010,06","0,12","37.913.010,06","33.478.000,00","1,13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SAF","SAFRAN SA","Industrie","Aktien","37.894.212,63","0,12","37.894.212,63","114.561,00","330,78","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"8058","MITSUBISHI CORP","Industrie","Aktien","37.710.707,26","0,12","37.710.707,26","1.013.900,00","37,19","Japan","Tokyo Stock Exchange","JPY"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash und/oder Derivate","Money Market","37.329.924,91","0,11","37.329.924,91","37.329.925,00","1,00","Irland","-","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","37.207.018,87","0,11","37.207.018,87","82.607,00","450,41","Vereinigte Staaten","NASDAQ","USD"
"BMY","BRISTOL MYERS SQUIBB","Gesundheitsversorgung","Aktien","37.122.470,70","0,11","37.122.470,70","653.910,00","56,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","IT","Aktien","36.966.616,50","0,11","36.966.616,50","379.662,00","97,37","Kanada","Toronto Stock Exchange","CAD"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materialien","Aktien","36.608.687,54","0,11","36.608.687,54","175.140,00","209,03","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AIR","AIRBUS GROUP","Industrie","Aktien","36.368.911,76","0,11","36.368.911,76","180.258,00","201,76","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"APP","APPLOVIN CORP CLASS A","IT","Aktien","36.302.097,00","0,11","36.302.097,00","74.825,00","485,16","Vereinigte Staaten","NASDAQ","USD"
"PGR","PROGRESSIVE CORP","Financials","Aktien","36.233.204,56","0,11","36.233.204,56","184.037,00","196,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LMT","LOCKHEED MARTIN CORP","Industrie","Aktien","35.493.523,23","0,11","35.493.523,23","68.203,00","520,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PWR","QUANTA SERVICES INC","Industrie","Aktien","35.416.412,08","0,11","35.416.412,08","45.401,00","780,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BP.","BP PLC","Energie","Aktien","35.212.626,76","0,11","35.212.626,76","4.829.556,00","7,29","Vereinigtes Königreich","London Stock Exchange","GBP"
