Fondsposition per,"31.Dez.2025"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NVDA","NVIDIA CORP","IT","Aktien","1.253.680.788,50","4,84","1.253.680.788,50","6.722.149,00","186,50","Vereinigte Staaten","NASDAQ","USD"
"AAPL","APPLE INC","IT","Aktien","1.115.318.699,28","4,31","1.115.318.699,28","4.102.548,00","271,86","Vereinigte Staaten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aktien","944.121.029,52","3,65","944.121.029,52","1.952.196,00","483,62","Vereinigte Staaten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Zyklische Konsumgüter ","Aktien","611.492.037,12","2,36","611.492.037,12","2.649.216,00","230,82","Vereinigte Staaten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Kommunikation","Aktien","504.270.857,00","1,95","504.270.857,00","1.611.089,00","313,00","Vereinigte Staaten","NASDAQ","USD"
"AVGO","BROADCOM INC","IT","Aktien","429.376.159,30","1,66","429.376.159,30","1.240.613,00","346,10","Vereinigte Staaten","NASDAQ","USD"
"NDIA","ISHARES MSCI INDIA UCITS ETF","Financials","Aktien","429.202.281,25","1,66","429.202.281,25","43.867.772,00","9,78","Irland","London Stock Exchange","USD"
"GOOG","ALPHABET INC CLASS C","Kommunikation","Aktien","424.733.948,40","1,64","424.733.948,40","1.353.518,00","313,80","Vereinigte Staaten","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Kommunikation","Aktien","396.674.484,60","1,53","396.674.484,60","600.940,00","660,09","Vereinigte Staaten","NASDAQ","USD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","351.598.291,52","1,36","351.598.291,52","781.816,00","449,72","Vereinigte Staaten","NASDAQ","USD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","IT","Aktien","336.485.733,84","1,30","336.485.733,84","6.821.000,00","49,33","Taiwan","Taiwan Stock Exchange","TWD"
"JPM","JPMORGAN CHASE & CO","Financials","Aktien","245.398.885,36","0,95","245.398.885,36","761.588,00","322,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Gesundheitsversorgung","Aktien","239.100.179,80","0,92","239.100.179,80","222.485,00","1.074,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Aktien","191.919.309,75","0,74","191.919.309,75","381.815,00","502,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Financials","Aktien","166.226.369,41","0,64","166.226.369,41","473.971,00","350,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energie","Aktien","141.840.185,08","0,55","141.840.185,08","1.178.662,00","120,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Gesundheitsversorgung","Aktien","137.300.149,70","0,53","137.300.149,70","663.446,00","206,95","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","Financials","Aktien","136.589.890,56","0,53","136.589.890,56","239.262,00","570,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Nichtzyklische Konsumgüter","Aktien","134.980.790,88","0,52","134.980.790,88","1.211.568,00","111,41","Vereinigte Staaten","NASDAQ","USD"
"700","TENCENT HOLDINGS LTD","Kommunikation","Aktien","133.175.242,50","0,51","133.175.242,50","1.730.500,00","76,96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Financials","Aktien","132.815.305,38","0,51","132.815.305,38","2.982.268,00","44,53","Deutschland","Xetra","USD"
"ASML","ASML HOLDING NV","IT","Aktien","117.365.466,01","0,45","117.365.466,01","108.457,00","1.082,14","Niederlande","Euronext Amsterdam","EUR"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","IT","Aktien","111.577.230,00","0,43","111.577.230,00","627.720,00","177,75","Vereinigte Staaten","NASDAQ","USD"
"ABBV","ABBVIE INC","Gesundheitsversorgung","Aktien","111.260.463,62","0,43","111.260.463,62","486.938,00","228,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Kommunikation","Aktien","110.195.284,16","0,43","110.195.284,16","1.175.291,00","93,76","Vereinigte Staaten","NASDAQ","USD"
"CNYA","ISH MSCI CHINA A ETF USD ACC","Financials","Aktien","109.661.358,87","0,42","109.661.358,87","19.009.553,00","5,77","Irland","London Stock Exchange","USD"
"005930","SAMSUNG ELECTRONICS LTD","IT","Aktien","107.450.891,74","0,42","107.450.891,74","1.290.979,00","83,23","Korea","Korea Exchange (Stock Market)","KRW"
"BAC","BANK OF AMERICA CORP","Financials","Aktien","106.221.995,00","0,41","106.221.995,00","1.931.309,00","55,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Nichtzyklische Konsumgüter","Aktien","104.883.827,18","0,41","104.883.827,18","121.627,00","862,34","Vereinigte Staaten","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","IT","Aktien","95.856.088,56","0,37","95.856.088,56","447.591,00","214,16","Vereinigte Staaten","NASDAQ","USD"
"HD","HOME DEPOT INC","Zyklische Konsumgüter ","Aktien","94.778.904,00","0,37","94.778.904,00","275.440,00","344,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Nichtzyklische Konsumgüter","Aktien","92.313.136,50","0,36","92.313.136,50","644.150,00","143,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ORCL","ORACLE CORP","IT","Aktien","91.365.816,69","0,35","91.365.816,69","468.759,00","194,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GE","GE AEROSPACE","Industrie","Aktien","90.010.370,39","0,35","90.010.370,39","292.213,00","308,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MU","MICRON TECHNOLOGY INC","IT","Aktien","87.770.424,84","0,34","87.770.424,84","307.524,00","285,41","Vereinigte Staaten","NASDAQ","USD"
"9988","ALIBABA GROUP HOLDING LTD","Zyklische Konsumgüter ","Aktien","85.689.540,18","0,33","85.689.540,18","4.670.620,00","18,35","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CSCO","CISCO SYSTEMS INC","IT","Aktien","84.026.480,84","0,32","84.026.480,84","1.090.828,00","77,03","Vereinigte Staaten","NASDAQ","USD"
"IKSA","ISHARES MSCI SAUDI ARABIA CAPPED","Financials","Aktien","83.143.657,60","0,32","83.143.657,60","13.789.478,00","6,03","Irland","London Stock Exchange","USD"
"UNH","UNITEDHEALTH GROUP INC","Gesundheitsversorgung","Aktien","83.053.365,23","0,32","83.053.365,23","251.593,00","330,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energie","Aktien","81.381.300,83","0,31","81.381.300,83","533.963,00","152,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ROG","ROCHE HOLDING PAR AG","Gesundheitsversorgung","Aktien","81.131.785,67","0,31","81.131.785,67","195.846,00","414,26","Schweiz","SIX Swiss Exchange","CHF"
