Fondsposition per,"31.Dez.2025"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"WFC","WELLS FARGO","Financials","Aktien","81.102.174,00","0,31","81.102.174,00","870.195,00","93,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KO","COCA-COLA","Nichtzyklische Konsumgüter","Aktien","78.798.916,68","0,30","78.798.916,68","1.127.148,00","69,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","77.988.669,73","0,30","77.988.669,73","420.464,00","185,48","Vereinigtes Königreich","London Stock Exchange","GBP"
"HSBA","HSBC HOLDINGS PLC","Financials","Aktien","77.860.298,21","0,30","77.860.298,21","4.931.551,00","15,79","Vereinigtes Königreich","London Stock Exchange","GBP"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Aktien","76.456.244,15","0,30","76.456.244,15","258.115,00","296,21","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","75.111.242,16","0,29","75.111.242,16","542.946,00","138,34","Schweiz","SIX Swiss Exchange","CHF"
"GS","GOLDMAN SACHS GROUP INC","Financials","Aktien","74.496.129,00","0,29","74.496.129,00","84.751,00","879,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrie","Aktien","73.971.838,75","0,29","73.971.838,75","129.125,00","572,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","72.389.018,95","0,28","72.389.018,95","728.349,00","99,39","Schweiz","SIX Swiss Exchange","CHF"
"MRK","MERCK & CO INC","Gesundheitsversorgung","Aktien","72.177.518,82","0,28","72.177.518,82","685.707,00","105,26","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAP","SAP","IT","Aktien","71.449.955,81","0,28","71.449.955,81","291.994,00","244,70","Deutschland","Xetra","EUR"
"CRM","SALESFORCE INC","IT","Aktien","69.553.180,14","0,27","69.553.180,14","262.554,00","264,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Nichtzyklische Konsumgüter","Aktien","68.290.781,20","0,26","68.290.781,20","425.753,00","160,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RTX","RTX CORP","Industrie","Aktien","67.700.276,00","0,26","67.700.276,00","369.140,00","183,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"000660","SK HYNIX INC","IT","Aktien","67.387.572,11","0,26","67.387.572,11","149.117,00","451,91","Korea","Korea Exchange (Stock Market)","KRW"
"RY","ROYAL BANK OF CANADA","Financials","Aktien","65.018.066,85","0,25","65.018.066,85","380.886,00","170,70","Kanada","Toronto Stock Exchange","CAD"
"SHEL","SHELL PLC","Energie","Aktien","62.020.118,57","0,24","62.020.118,57","1.682.843,00","36,85","Vereinigtes Königreich","London Stock Exchange","GBP"
"LRCX","LAM RESEARCH CORP","IT","Aktien","60.885.815,94","0,24","60.885.815,94","355.683,00","171,18","Vereinigte Staaten","NASDAQ","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Gesundheitsversorgung","Aktien","60.401.868,00","0,23","60.401.868,00","104.240,00","579,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABT","ABBOTT LABORATORIES","Gesundheitsversorgung","Aktien","60.238.805,55","0,23","60.238.805,55","480.795,00","125,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Zyklische Konsumgüter ","Aktien","60.211.249,41","0,23","60.211.249,41","197.007,00","305,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MS","MORGAN STANLEY","Financials","Aktien","59.416.272,99","0,23","59.416.272,99","334.683,00","177,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SIE","SIEMENS N AG","Industrie","Aktien","59.343.839,13","0,23","59.343.839,13","211.286,00","280,87","Deutschland","Xetra","EUR"
"C","CITIGROUP INC","Financials","Aktien","59.043.389,65","0,23","59.043.389,65","505.985,00","116,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Financials","Aktien","58.429.903,00","0,23","58.429.903,00","157.940,00","369,95","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DIS","WALT DISNEY","Kommunikation","Aktien","56.837.330,37","0,22","56.837.330,37","499.581,00","113,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aktien","56.789.393,21","0,22","56.789.393,21","220.979,00","256,99","Vereinigte Staaten","NASDAQ","USD"
"LIN","LINDE PLC","Materialien","Aktien","56.022.102,93","0,22","56.022.102,93","131.387,00","426,39","Vereinigte Staaten","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Gesundheitsversorgung","Aktien","56.013.004,00","0,22","56.013.004,00","98.900,00","566,36","Vereinigte Staaten","NASDAQ","USD"
"7203","TOYOTA MOTOR CORP","Zyklische Konsumgüter ","Aktien","55.922.271,20","0,22","55.922.271,20","2.611.900,00","21,41","Japan","Tokyo Stock Exchange","JPY"
"MC","LVMH","Zyklische Konsumgüter ","Aktien","54.580.849,05","0,21","54.580.849,05","72.052,00","757,52","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","IT","Aktien","53.469.988,69","0,21","53.469.988,69","331.647,00","161,23","Kanada","Toronto Stock Exchange","CAD"
"PEP","PEPSICO INC","Nichtzyklische Konsumgüter","Aktien","53.212.479,84","0,21","53.212.479,84","370.767,00","143,52","Vereinigte Staaten","NASDAQ","USD"
"INTU","INTUIT INC","IT","Aktien","51.864.836,32","0,20","51.864.836,32","78.296,00","662,42","Vereinigte Staaten","NASDAQ","USD"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Aktien","51.209.575,28","0,20","51.209.575,28","478.254,00","107,08","Australien","Asx - All Markets","AUD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash und/oder Derivate","Money Market","50.306.061,04","0,19","50.306.061,04","50.306.061,00","1,00","Irland","-","USD"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Aktien","50.143.105,68","0,19","50.143.105,68","3.152.700,00","15,90","Japan","Tokyo Stock Exchange","JPY"
"QCOM","QUALCOMM INC","IT","Aktien","49.934.797,55","0,19","49.934.797,55","291.931,00","171,05","Vereinigte Staaten","NASDAQ","USD"
"SAN","BANCO SANTANDER SA","Financials","Aktien","49.864.076,69","0,19","49.864.076,69","4.216.225,00","11,83","Spanien","Bolsa De Madrid","EUR"
"GEV","GE VERNOVA INC","Industrie","Aktien","48.973.960,81","0,19","48.973.960,81","74.933,00","653,57","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Zyklische Konsumgüter ","Aktien","48.393.601,62","0,19","48.393.601,62","315.042,00","153,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Zyklische Konsumgüter ","Aktien","48.305.076,60","0,19","48.305.076,60","9.020,00","5.355,33","Vereinigte Staaten","NASDAQ","USD"
"T","AT&T INC","Kommunikation","Aktien","48.014.453,16","0,19","48.014.453,16","1.932.949,00","24,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SCHW","CHARLES SCHWAB CORP","Financials","Aktien","47.641.084,40","0,18","47.641.084,40","476.840,00","99,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","47.398.415,72","0,18","47.398.415,72","144.812,00","327,31","Vereinigte Staaten","NASDAQ","USD"
"ALV","ALLIANZ","Financials","Aktien","46.945.998,00","0,18","46.945.998,00","102.363,00","458,62","Deutschland","Xetra","EUR"
"BA","BOEING","Industrie","Aktien","46.856.884,32","0,18","46.856.884,32","215.811,00","217,12","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TD","TORONTO DOMINION","Financials","Aktien","46.081.415,23","0,18","46.081.415,23","488.297,00","94,37","Kanada","Toronto Stock Exchange","CAD"
"SPGI","S&P GLOBAL INC","Financials","Aktien","46.032.340,15","0,18","46.032.340,15","88.085,00","522,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KLAC","KLA CORP","IT","Aktien","46.023.585,16","0,18","46.023.585,16","37.877,00","1.215,08","Vereinigte Staaten","NASDAQ","USD"
"NEE","NEXTERA ENERGY INC","Versorger","Aktien","45.968.568,84","0,18","45.968.568,84","572.603,00","80,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VZ","VERIZON COMMUNICATIONS INC","Kommunikation","Aktien","45.888.169,39","0,18","45.888.169,39","1.126.643,00","40,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INTC","INTEL CORPORATION CORP","IT","Aktien","45.819.689,40","0,18","45.819.689,40","1.241.726,00","36,90","Vereinigte Staaten","NASDAQ","USD"
"ACN","ACCENTURE PLC CLASS A","IT","Aktien","45.277.234,80","0,17","45.277.234,80","168.756,00","268,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","45.218.526,17","0,17","45.218.526,17","884.156,00","51,14","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"APH","AMPHENOL CORP CLASS A","IT","Aktien","44.764.314,16","0,17","44.764.314,16","331.244,00","135,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Aktien","44.721.963,72","0,17","44.721.963,72","184.527,00","242,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UBER","UBER TECHNOLOGIES INC","Industrie","Aktien","44.606.224,39","0,17","44.606.224,39","545.909,00","81,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOW","SERVICENOW INC","IT","Aktien","43.995.708,43","0,17","43.995.708,43","287.197,00","153,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","IT","Aktien","43.897.480,74","0,17","43.897.480,74","253.026,00","173,49","Vereinigte Staaten","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","IT","Aktien","43.804.364,38","0,17","43.804.364,38","65.009,00","673,82","Vereinigte Staaten","NASDAQ","USD"
"BLK","BLACKROCK INC","Financials","Aktien","43.520.024,40","0,17","43.520.024,40","40.660,00","1.070,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6758","SONY GROUP CORP","Zyklische Konsumgüter ","Aktien","43.414.376,22","0,17","43.414.376,22","1.691.100,00","25,67","Japan","Tokyo Stock Exchange","JPY"
"USD","USD CASH","Cash und/oder Derivate","Geldmarkt","42.620.732,96","0,16","42.620.732,96","42.620.733,00","100,00","Vereinigte Staaten","-","USD"
"BHP","BHP GROUP LTD","Materialien","Aktien","42.253.569,88","0,16","42.253.569,88","1.392.898,00","30,33","Australien","Asx - All Markets","AUD"
"GILD","GILEAD SCIENCES INC","Gesundheitsversorgung","Aktien","42.047.164,54","0,16","42.047.164,54","342.571,00","122,74","Vereinigte Staaten","NASDAQ","USD"
"UBSG","UBS GROUP AG","Financials","Aktien","41.851.829,20","0,16","41.851.829,20","897.108,00","46,65","Schweiz","SIX Swiss Exchange","CHF"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","40.834.679,07","0,16","40.834.679,07","148.017,00","275,88","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ADBE","ADOBE INC","IT","Aktien","40.407.395,47","0,16","40.407.395,47","115.453,00","349,99","Vereinigte Staaten","NASDAQ","USD"
"DHR","DANAHER CORP","Gesundheitsversorgung","Aktien","40.238.413,00","0,16","40.238.413,00","175.775,00","228,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Aktien","39.920.430,41","0,15","39.920.430,41","1.695.299,00","23,55","Spanien","Bolsa De Madrid","EUR"
"ULVR","UNILEVER PLC","Nichtzyklische Konsumgüter","Aktien","39.842.424,94","0,15","39.842.424,94","609.559,00","65,36","Vereinigtes Königreich","London Stock Exchange","GBP"
"IBE","IBERDROLA SA","Versorger","Aktien","39.826.047,69","0,15","39.826.047,69","1.836.468,00","21,69","Spanien","Bolsa De Madrid","EUR"
"ANET","ARISTA NETWORKS INC","IT","Aktien","39.590.714,50","0,15","39.590.714,50","302.150,00","131,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6501","HITACHI LTD","Industrie","Aktien","39.489.332,36","0,15","39.489.332,36","1.262.700,00","31,27","Japan","Tokyo Stock Exchange","JPY"
"BSX","BOSTON SCIENTIFIC CORP","Gesundheitsversorgung","Aktien","38.654.699,30","0,15","38.654.699,30","405.398,00","95,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrie","Aktien","38.588.748,09","0,15","38.588.748,09","2.494.735,00","15,47","Vereinigtes Königreich","London Stock Exchange","GBP"
"TTE","TOTALENERGIES","Energie","Aktien","38.297.750,45","0,15","38.297.750,45","586.600,00","65,29","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ADI","ANALOG DEVICES INC","IT","Aktien","37.652.323,20","0,15","37.652.323,20","138.836,00","271,20","Vereinigte Staaten","NASDAQ","USD"
"PFE","PFIZER INC","Gesundheitsversorgung","Aktien","37.623.128,10","0,15","37.623.128,10","1.510.969,00","24,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Zyklische Konsumgüter ","Aktien","37.454.318,44","0,14","37.454.318,44","155.309,00","241,16","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Industrie","Aktien","37.175.668,52","0,14","37.175.668,52","160.711,00","231,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AIR","AIRBUS GROUP","Industrie","Aktien","36.722.281,68","0,14","36.722.281,68","157.599,00","233,01","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PGR","PROGRESSIVE CORP","Financials","Aktien","36.402.863,76","0,14","36.402.863,76","159.858,00","227,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAF","SAFRAN SA","Industrie","Aktien","34.955.037,67","0,14","34.955.037,67","100.077,00","349,28","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"WELL","WELLTOWER INC","Immobilien","Aktien","34.807.443,30","0,13","34.807.443,30","187.530,00","185,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aktien","34.746.504,45","0,13","34.746.504,45","178.105,00","195,09","Vereinigte Staaten","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","IT","Aktien","34.172.784,00","0,13","34.172.784,00","185.520,00","184,20","Vereinigte Staaten","NASDAQ","USD"
"ETN","EATON PLC","Industrie","Aktien","34.166.249,19","0,13","34.166.249,19","107.269,00","318,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CB","CHUBB LTD","Financials","Aktien","33.908.092,56","0,13","33.908.092,56","108.638,00","312,12","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COP","CONOCOPHILLIPS","Energie","Aktien","33.557.687,24","0,13","33.557.687,24","358.484,00","93,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PLD","PROLOGIS REIT INC","Immobilien","Aktien","33.362.536,74","0,13","33.362.536,74","261.339,00","127,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UCG","UNICREDIT","Financials","Aktien","33.310.300,82","0,13","33.310.300,82","399.922,00","83,29","Italien","Borsa Italiana","EUR"
"DE","DEERE","Industrie","Aktien","33.218.419,50","0,13","33.218.419,50","71.350,00","465,57","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Aktien","33.215.380,39","0,13","33.215.380,39","1.032.800,00","32,16","Japan","Tokyo Stock Exchange","JPY"
"MDT","MEDTRONIC PLC","Gesundheitsversorgung","Aktien","33.192.092,10","0,13","33.192.092,10","345.535,00","96,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SYK","STRYKER CORP","Gesundheitsversorgung","Aktien","32.974.563,93","0,13","32.974.563,93","93.819,00","351,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABBN","ABB LTD","Industrie","Aktien","32.727.786,30","0,13","32.727.786,30","437.835,00","74,75","Schweiz","SIX Swiss Exchange","CHF"
"VRTX","VERTEX PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","32.557.141,68","0,13","32.557.141,68","71.813,00","453,36","Vereinigte Staaten","NASDAQ","USD"
"BX","BLACKSTONE INC","Financials","Aktien","31.975.880,58","0,12","31.975.880,58","207.447,00","154,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","IT","Aktien","31.938.493,84","0,12","31.938.493,84","68.134,00","468,76","Vereinigte Staaten","NASDAQ","USD"
"BATS","BRITISH AMERICAN TOBACCO","Nichtzyklische Konsumgüter","Aktien","31.924.445,72","0,12","31.924.445,72","563.236,00","56,68","Vereinigtes Königreich","London Stock Exchange","GBP"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Zyklische Konsumgüter ","Aktien","31.900.426,25","0,12","31.900.426,25","146.894,00","217,17","Schweiz","SIX Swiss Exchange","CHF"
"DTE","DEUTSCHE TELEKOM N AG","Kommunikation","Aktien","31.648.206,12","0,12","31.648.206,12","974.232,00","32,49","Deutschland","Xetra","EUR"
"1299","AIA GROUP LTD","Financials","Aktien","31.284.542,94","0,12","31.284.542,94","3.047.600,00","10,27","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"CMCSA","COMCAST CORP CLASS A","Kommunikation","Aktien","31.235.199,45","0,12","31.235.199,45","1.045.005,00","29,89","Vereinigte Staaten","NASDAQ","USD"
"ENR","SIEMENS ENERGY N AG","Industrie","Aktien","30.862.789,02","0,12","30.862.789,02","218.260,00","141,40","Deutschland","Xetra","EUR"
"BMY","BRISTOL MYERS SQUIBB","Gesundheitsversorgung","Aktien","30.625.837,44","0,12","30.625.837,44","567.776,00","53,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CEG","CONSTELLATION ENERGY CORP","Versorger","Aktien","30.540.191,50","0,12","30.540.191,50","86.450,00","353,27","Vereinigte Staaten","NASDAQ","USD"
"NEM","NEWMONT","Materialien","Aktien","30.376.766,40","0,12","30.376.766,40","304.224,00","99,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Aktien","30.181.532,85","0,12","30.181.532,85","39.733,00","759,61","Schweiz","SIX Swiss Exchange","CHF"
"PH","PARKER-HANNIFIN CORP","Industrie","Aktien","29.647.320,80","0,11","29.647.320,80","33.730,00","878,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9984","SOFTBANK GROUP CORP","Kommunikation","Aktien","29.401.639,61","0,11","29.401.639,61","1.047.400,00","28,07","Japan","Tokyo Stock Exchange","JPY"
"SAN","SANOFI SA","Gesundheitsversorgung","Aktien","29.248.519,34","0,11","29.248.519,34","301.064,00","97,15","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"MCK","MCKESSON CORP","Gesundheitsversorgung","Aktien","29.241.697,92","0,11","29.241.697,92","35.648,00","820,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ENB","ENBRIDGE INC","Energie","Aktien","29.155.834,75","0,11","29.155.834,75","608.486,00","47,92","Kanada","Toronto Stock Exchange","CAD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrie","Aktien","28.842.428,21","0,11","28.842.428,21","112.127,00","257,23","Vereinigte Staaten","NASDAQ","USD"
"LMT","LOCKHEED MARTIN CORP","Industrie","Aktien","28.733.383,69","0,11","28.733.383,69","59.407,00","483,67","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Aktien","28.615.079,33","0,11","28.615.079,33","28.963.000,00","0,99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
