date,usa_pct,japan_pct,uk_pct,france_pct,switzerland_pct,canada_pct,china_pct,other_pct,acwi_sector_financials,acwi_sector_it,acwi_sector_consdisc,acwi_sector_healthcare,acwi_sector_industrials,acwi_sector_consstaples,acwi_sector_energy,acwi_sector_materials,acwi_sector_telecom_commsrvcs,acwi_sector_utilities,acwi_sector_realestate,usa_sec_financials,usa_sec_it,usa_sec_consdisc,usa_sec_healthcare,usa_sec_industrials,usa_sec_consstaples,usa_sec_energy,usa_sec_materials,usa_sec_commsrvcs,usa_sec_utilities,usa_sec_realestate,japan_sec_financials,japan_sec_it,japan_sec_consdisc,japan_sec_healthcare,japan_sec_industrials,japan_sec_consstaples,japan_sec_energy,japan_sec_materials,japan_sec_telecom_commsrvcs,japan_sec_utilities,japan_sec_realestate,uk_sec_financials,uk_sec_it,uk_sec_consdisc,uk_sec_healthcare,uk_sec_industrials,uk_sec_consstaples,uk_sec_energy,uk_sec_materials,uk_sec_telecom_commsrvcs,uk_sec_utilities,uk_sec_realestate,china_sec_financials,china_sec_it,china_sec_consdisc,china_sec_healthcare,china_sec_industrials,china_sec_consstaples,china_sec_energy,china_sec_materials,china_sec_telecom_commsrvcs,china_sec_utilities,china_sec_realestate,france_sec_financials,france_sec_it,france_sec_consdisc,france_sec_healthcare,france_sec_industrials,france_sec_consstaples,france_sec_energy,france_sec_materials,france_sec_telecom_commsrvcs,france_sec_utilities,france_sec_realestate,canada_sec_financials,canada_sec_it,canada_sec_consdisc,canada_sec_healthcare,canada_sec_industrials,canada_sec_consstaples,canada_sec_energy,canada_sec_materials,canada_sec_telecom_commsrvcs,canada_sec_utilities,canada_sec_realestate,switzerland_sec_financials,switzerland_sec_it,switzerland_sec_consdisc,switzerland_sec_healthcare,switzerland_sec_industrials,switzerland_sec_consstaples,switzerland_sec_energy,switzerland_sec_materials,switzerland_sec_telecom_commsrvcs,switzerland_sec_utilities,switzerland_sec_realestate
Apr 2015,52.95,7.93,6.95,3.49,3.24,,,25.44,21.34,14.54,13.06,12.12,10.38,10.09,6.80,4.77,3.73,3.16,,16.14,19.95,12.47,14.60,10.27,9.51,8.49,3.22,2.34,3.00,0.00,19.57,10.58,21.99,7.21,19.17,6.66,0.94,5.76,5.19,2.44,,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,39.76,14.74,4.81,2.04,6.97,3.91,9.85,2.49,11.20,3.85,,,,,,,,,,,,,,37.32,2.14,6.02,6.08,8.06,4.14,22.26,10.28,2.01,1.41,,,,,,,,,,,,,,
Aug 31 2015,52.42,8.03,7.02,3.47,3.37,,,25.70,21.64,13.85,12.77,12.66,10.37,9.87,6.89,4.91,3.87,3.17,,16.65,19.98,12.90,15.24,9.93,9.67,7.25,2.95,2.45,2.97,0.00,19.57,10.58,21.99,7.21,19.17,6.66,0.94,5.76,5.19,2.44,,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,39.76,14.74,4.81,2.04,6.97,3.91,9.85,2.49,11.20,3.85,,,,,,,,,,,,,,37.32,2.14,6.02,6.08,8.06,4.14,22.26,10.28,2.01,1.41,,,,,,,,,,,,,,
Jan 29 2016,53.42,7.92,6.68,3.39,3.20,,,25.38,20.65,14.91,12.90,12.30,10.28,10.85,6.41,4.36,3.94,3.40,,16.02,20.66,12.87,14.76,9.78,10.66,6.64,2.60,2.70,3.30,0.00,19.57,10.58,21.99,7.21,19.17,6.66,0.94,5.76,5.19,2.44,,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,39.76,14.74,4.81,2.04,6.97,3.91,9.85,2.49,11.20,3.85,,,,,,,,,,,,,,37.32,2.14,6.02,6.08,8.06,4.14,22.26,10.28,2.01,1.41,,,,,,,,,,,,,,
Mai 31 2016,53.55,7.74,6.54,3.32,,3.14,,25.71,20.65,14.84,12.55,12.10,10.47,10.54,6.72,4.84,3.90,3.38,,16.30,20.37,12.55,14.70,10.02,10.08,7.13,2.84,2.65,3.34,0.00,19.57,10.58,21.99,7.21,19.17,6.66,0.94,5.76,5.19,2.44,,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,,,,,,,,,,,,,,,37.32,2.14,6.02,6.08,8.06,4.14,22.26,10.28,2.01,1.41,,,,,,,,,,,,,,
Okt 31 2016,52.65,8.15,5.89,3.26,,3.21,,26.84,17.58,16.05,12.33,11.14,10.39,10.10,6.90,5.22,3.66,3.37,3.25,13.31,21.63,12.46,13.98,9.70,10.04,7.20,2.88,2.49,3.38,2.95,19.57,10.58,21.99,7.21,19.17,6.66,0.94,5.76,5.19,2.44,,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,,,,,,,,,,,,,,,37.32,2.14,6.02,6.08,8.06,4.14,22.26,10.28,2.01,1.41,,,,,,,,,,,,,,
Jan 31 2017,53.44,7.91,5.86,3.22,,3.29,,26.27,18.64,15.90,12.19,10.96,10.65,9.39,7.00,5.50,3.56,3.11,3.11,14.56,21.27,12.31,13.65,10.23,9.34,7.21,2.92,2.52,3.15,2.83,19.57,10.58,21.99,7.21,19.17,6.66,0.94,5.76,5.19,2.44,,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,,,,,,,,,,,,,,,37.32,2.14,6.02,6.08,8.06,4.14,22.26,10.28,2.01,1.41,,,,,,,,,,,,,,
Aug 31 2017,52.10,7.67,5.79,3.48,,,3.44,27.52,18.55,17.62,11.92,11.20,10.71,9.03,5.98,5.39,3.22,3.19,3.18,14.23,23.51,12.06,14.66,10.10,8.48,5.67,2.90,2.14,3.26,2.98,19.57,10.58,21.99,7.21,19.17,6.66,0.94,5.76,5.19,2.44,,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,39.76,14.74,4.81,2.04,6.97,3.91,9.85,2.49,11.20,3.85,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 28 2018,52.50,8.04,5.52,3.52,,,3.67,26.75,19.05,18.99,12.35,10.64,10.86,8.22,6.01,5.45,2.86,2.72,2.86,15.03,25.15,12.68,13.78,10.23,7.55,5.51,2.90,1.88,2.68,2.60,11.91,12.16,19.45,8.15,20.81,8.23,1.34,5.95,5.53,1.81,3.72,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,39.76,14.74,4.81,2.04,6.97,3.91,9.85,2.49,11.20,3.85,,,,,,,,,,,,,,,,,,,,,,,,,
Mai 31 2018,53.27,7.95,5.77,3.52,,,3.68,25.81,17.80,19.65,12.40,10.85,10.73,7.87,6.72,5.42,2.71,2.86,2.98,14.20,25.98,12.87,13.92,9.91,6.69,6.26,2.84,1.79,2.80,2.74,11.91,12.16,19.45,8.15,20.81,8.23,1.34,5.95,5.53,1.81,3.72,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,39.76,14.74,4.81,2.04,6.97,3.91,9.85,2.49,11.20,3.85,,,,,,,,,,,,,,,,,,,,,,,,,
Dez 31 2018,54.41,7.58,5.21,3.42,,,3.60,25.77,17.22,14.85,10.44,12.11,10.29,8.43,6.18,4.98,8.98,3.36,3.18,13.31,20.12,9.94,15.54,9.20,7.41,5.32,2.73,10.12,3.34,2.96,11.91,12.16,19.45,8.15,20.81,8.23,1.34,5.95,5.53,1.81,3.72,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,39.76,14.74,4.81,2.04,6.97,3.91,9.85,2.49,11.20,3.85,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 31 2020,58.66,6.63,3.62,2.89,,,5.14,23.05,12.85,21.73,12.80,12.30,9.44,7.84,3.13,4.69,9.49,3.00,2.73,9.62,28.71,11.44,13.98,7.99,6.89,2.32,2.49,11.10,2.83,2.61,8.97,13.51,18.50,9.90,20.84,7.00,0.63,5.18,9.53,1.28,3.57,20.37,0.75,6.01,9.93,8.86,16.53,17.74,9.15,5.73,3.23,1.16,15.27,5.78,30.45,5.89,5.53,5.83,2.27,3.47,17.85,2.64,3.97,,,,,,,,,,,,,,,,,,,,,,,,,
